PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;4;1;28079004_1_38;2016;04;01;00007;V;00007;V;00007;V;00007;V;00007;V;00006;V;00007;V;00008;V;00009;V;00009;V;00008;V;00009;V;00009;V;00009;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00009;V;00010;V;00009;V;00008;V
28;079;4;1;28079004_1_38;2016;04;02;00008;V;00008;V;00008;V;00008;V;00008;V;00007;V;00008;V;00007;V;00008;V;00010;V;00009;V;00009;V;00009;V;00008;V;00008;V;00008;V;00008;V;00009;V;00009;V;00009;V;00009;V;00009;V;00011;V;00009;V
28;079;4;1;28079004_1_38;2016;04;03;00010;V;00009;V;00008;V;00008;V;00009;V;00009;V;00010;V;00011;V;00011;V;00009;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00007;V
28;079;4;1;28079004_1_38;2016;04;04;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00008;V;00008;V;00009;V;00011;V;00010;V;00009;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V
28;079;4;1;28079004_1_38;2016;04;05;00008;V;00007;V;00007;V;00007;V;00007;V;00007;V;00008;V;00008;V;00008;V;00008;V;00008;V;00009;V;00010;V;00009;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00009;V;00008;V;00008;V
28;079;4;1;28079004_1_38;2016;04;06;00008;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00009;V;00012;V;00010;V;00008;V;00009;V;00009;V;00009;V;00009;V;00009;V;00009;V;00008;V;00008;V;00008;V;00009;V;00009;V;00010;V;00011;V
28;079;4;1;28079004_1_38;2016;04;07;00010;V;00008;V;00008;V;00008;V;00007;V;00007;V;00009;V;00013;V;00015;V;00013;V;00009;V;00009;V;00009;V;00009;V;00009;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00009;V;00008;V;00008;V
28;079;4;1;28079004_1_38;2016;04;08;00008;V;00007;V;00007;V;00007;V;00007;V;00006;V;00007;V;00007;V;00007;V;00007;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00009;V;00009;V;00009;V;00008;V;00008;V
28;079;4;1;28079004_1_38;2016;04;09;00008;V;00008;V;00007;V;00007;V;00007;V;00007;V;00007;V;00008;V;00009;V;00008;V;00008;V;00008;V;00008;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00008;V;00008;V;00008;V;00008;V
28;079;4;1;28079004_1_38;2016;04;10;00008;V;00008;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00008;V;00007;V;00008;V;00008;V;00008;V;00008;V;00008;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V
28;079;4;1;28079004_1_38;2016;04;11;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00007;V;00007;V;00007;V
28;079;4;1;28079004_1_38;2016;04;12;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00007;V;00008;V;00008;V;00008;V;00008;V
28;079;4;1;28079004_1_38;2016;04;13;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00008;V;00007;V;00007;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00009;V;00010;V
28;079;4;1;28079004_1_38;2016;04;14;00010;V;00010;V;00008;V;00007;V;00007;V;00008;V;00008;V;00009;V;00010;V;00009;V;00009;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00009;V
28;079;4;1;28079004_1_38;2016;04;15;00009;V;00009;V;00010;V;00010;V;00009;V;00009;V;00011;V;00013;V;00016;V;00010;V;00009;V;00010;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00007;V
28;079;4;1;28079004_1_38;2016;04;16;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00008;V;00007;V;00008;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00008;V;00008;V;00008;V;00007;V
28;079;4;1;28079004_1_38;2016;04;17;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00008;V;00008;V;00008;V;00008;V
28;079;4;1;28079004_1_38;2016;04;18;00008;V;00009;V;00008;V;00007;V;00007;V;00007;V;00009;V;00010;V;00010;V;00008;V;00008;V;00009;V;00008;V;00008;V;00008;V;00007;V;00007;V;00007;V;00007;V;00007;V;00008;V;00007;V;00007;V;00007;V
28;079;4;1;28079004_1_38;2016;04;19;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00007;V;00008;V
28;079;4;1;28079004_1_38;2016;04;20;00008;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00009;V;00008;V;00008;V;00009;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00007;V;00008;V
28;079;4;1;28079004_1_38;2016;04;21;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00008;V;00007;V;00007;V;00008;V;00008;V;00007;V;00007;V;00007;V;00007;V;00008;V;00008;V;00008;V
28;079;4;1;28079004_1_38;2016;04;22;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00008;V;00009;V;00009;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00007;V;00007;V;00008;V;00008;V;00007;V;00008;V;00007;V;00009;V
